sceneId,systemType,rater_id,yes_ratio,participant_id
1,system1,E3,0.47368421052631576,1
1,system1,E4,0.5263157894736842,1
1,system1,E5,0.5263157894736842,1
1,system2,E3,0.8421052631578947,7
1,system2,E4,0.8947368421052632,7
1,system2,E5,0.8421052631578947,7
2,system1,E3,0.5789473684210527,2
2,system1,E4,0.5789473684210527,2
2,system1,E5,0.631578947368421,2
2,system2,E3,0.631578947368421,8
2,system2,E4,0.47368421052631576,8
2,system2,E5,0.6842105263157895,8
3,system1,E3,0.6842105263157895,3
3,system1,E4,0.7368421052631579,3
3,system1,E5,0.7368421052631579,3
3,system2,E3,0.5263157894736842,9
3,system2,E4,0.3684210526315789,9
3,system2,E5,0.5789473684210527,9
4,system1,E3,0.9473684210526315,4
4,system1,E4,0.7894736842105263,4
4,system1,E5,0.9473684210526315,4
4,system2,E3,0.8947368421052632,10
4,system2,E4,0.7894736842105263,10
4,system2,E5,0.8947368421052632,10
5,system1,E3,0.6842105263157895,5
5,system1,E4,0.631578947368421,5
5,system1,E5,0.7894736842105263,5
5,system2,E3,0.631578947368421,11
5,system2,E4,0.631578947368421,11
5,system2,E5,0.7894736842105263,11
6,system1,E3,0.7894736842105263,6
6,system1,E4,0.7894736842105263,6
6,system1,E5,0.8947368421052632,6
6,system2,E3,0.7368421052631579,12
6,system2,E4,0.7368421052631579,12
6,system2,E5,0.7894736842105263,12
7,system1,E3,0.8421052631578947,7
7,system1,E4,0.7894736842105263,7
7,system1,E5,0.9473684210526315,7
7,system2,E3,0.7894736842105263,1
7,system2,E4,0.8421052631578947,1
7,system2,E5,0.8421052631578947,1
8,system1,E3,0.7894736842105263,8
8,system1,E4,0.7894736842105263,8
8,system1,E5,0.7894736842105263,8
8,system2,E3,0.8421052631578947,2
8,system2,E4,0.8421052631578947,2
8,system2,E5,0.8947368421052632,2
9,system1,E3,0.6842105263157895,9
9,system1,E4,0.7368421052631579,9
9,system1,E5,0.7368421052631579,9
9,system2,E3,0.5789473684210527,3
9,system2,E4,0.7368421052631579,3
9,system2,E5,0.8421052631578947,3
10,system1,E3,0.6842105263157895,10
10,system1,E4,0.7894736842105263,10
10,system1,E5,0.8421052631578947,10
10,system2,E3,0.7894736842105263,4
10,system2,E4,0.8421052631578947,4
10,system2,E5,0.8947368421052632,4
11,system1,E3,0.5789473684210527,11
11,system1,E4,0.7368421052631579,11
11,system1,E5,0.7894736842105263,11
11,system2,E3,0.631578947368421,5
11,system2,E4,0.7894736842105263,5
11,system2,E5,0.8421052631578947,5
12,system1,E3,0.5789473684210527,12
12,system1,E4,0.8947368421052632,12
12,system1,E5,0.8947368421052632,12
12,system2,E3,0.7894736842105263,6
12,system2,E4,0.8947368421052632,6
12,system2,E5,0.8947368421052632,6
