id_group,event,timestamp,is_layout,is_start,is_end,duration,event_count,seq_idx,scene_slot,scene_label
1,instance.created_from_text,2000-01-01 08:33:16,False,False,False,0.0,1,0,1,P1-scene1
1,class.created,2000-01-01 08:34:45,False,False,False,0.0,1,2,1,P1-scene1
1,instance.created_from_class,2000-01-01 08:35:11,False,False,False,0.0,1,3,1,P1-scene1
1,layout.start,2000-01-01 08:35:22,True,True,False,6.0,4,4,1,P1-scene1
1,layout.start,2000-01-01 08:35:29,True,True,False,3.0,3,5,1,P1-scene1
1,instance.updated.text,2000-01-01 08:36:32,False,False,False,0.0,1,7,1,P1-scene1
1,instance.created_from_text,2000-01-01 08:36:45,False,False,False,0.0,1,9,1,P1-scene1
1,layout.start,2000-01-01 08:37:10,True,True,False,1.0,2,10,1,P1-scene1
1,relationship_node.created,2000-01-01 08:37:18,False,False,False,0.0,1,11,1,P1-scene1
1,layout.start,2000-01-01 08:37:20,True,True,False,1.0,2,12,1,P1-scene1
1,relationship_node.created,2000-01-01 08:37:31,False,False,False,0.0,1,15,1,P1-scene1
1,layout.start,2000-01-01 08:38:51,True,True,False,16.0,4,16,1,P1-scene1
1,instance.created_from_text,2000-01-01 08:39:10,False,False,False,0.0,1,17,1,P1-scene1
1,layout.start,2000-01-01 08:39:29,True,True,False,3.0,2,18,1,P1-scene1
1,api.generate_image.succeeded,2000-01-01 08:40:06,False,False,False,0.0,1,19,1,P1-scene1
1,layout.start,2000-01-01 08:40:26,True,True,False,32.0,9,20,1,P1-scene1
1,instance.deleted,2000-01-01 08:41:05,False,False,False,0.0,1,21,1,P1-scene1
1,instance.updated.text,2000-01-01 08:41:33,False,False,False,0.0,1,23,1,P1-scene1
1,instance.updated.text,2000-01-01 08:41:43,False,False,False,0.0,1,24,1,P1-scene1
1,class.updated,2000-01-01 08:42:21,False,False,False,0.0,1,25,1,P1-scene1
1,instance.created_from_text,2000-01-01 08:42:29,False,False,False,0.0,1,26,1,P1-scene1
1,layout.start,2000-01-01 08:42:51,True,True,False,14.0,3,27,1,P1-scene1
1,api.generate_image.succeeded,2000-01-01 08:43:36,False,False,False,0.0,1,29,1,P1-scene1
1,scene_saved,2000-01-01 08:44:01,False,False,False,0.0,1,30,1,P1-scene1
1,instance.deleted,2000-01-01 08:44:08,False,False,False,0.0,1,31,2,P1-scene2
1,instance.deleted,2000-01-01 08:44:11,False,False,False,0.0,1,32,2,P1-scene2
1,instance.deleted,2000-01-01 08:44:16,False,False,False,0.0,1,33,2,P1-scene2
1,instance.deleted,2000-01-01 08:44:21,False,False,False,0.0,1,34,2,P1-scene2
1,class.created,2000-01-01 08:44:29,False,False,False,0.0,1,35,2,P1-scene2
1,instance.deleted,2000-01-01 08:44:53,False,False,False,0.0,1,36,2,P1-scene2
1,instance.updated.text,2000-01-01 08:45:57,False,False,False,0.0,1,37,2,P1-scene2
1,layout.start,2000-01-01 08:46:14,True,True,False,7.0,5,38,2,P1-scene2
1,layout.start,2000-01-01 08:46:25,True,True,False,3.0,2,39,2,P1-scene2
1,relationship_node.edited,2000-01-01 08:46:54,False,False,False,0.0,1,42,2,P1-scene2
1,instance.updated.text,2000-01-01 08:47:20,False,False,False,0.0,1,45,2,P1-scene2
1,layout.start,2000-01-01 08:47:22,True,True,False,2.0,2,46,2,P1-scene2
1,api.generate_image.succeeded,2000-01-01 08:47:55,False,False,False,0.0,1,47,2,P1-scene2
1,instance.updated.text,2000-01-01 08:48:41,False,False,False,0.0,1,49,2,P1-scene2
1,instance.updated.text,2000-01-01 08:49:08,False,False,False,0.0,1,53,2,P1-scene2
1,api.generate_image.succeeded,2000-01-01 08:49:39,False,False,False,0.0,1,54,2,P1-scene2
1,relationship_node.edited,2000-01-01 08:50:24,False,False,False,0.0,1,56,2,P1-scene2
1,instance.updated.text,2000-01-01 08:52:07,False,False,False,0.0,1,57,2,P1-scene2
1,layout.start,2000-01-01 08:52:18,True,True,False,7.0,2,58,2,P1-scene2
1,layout.start,2000-01-01 08:52:27,True,True,False,2.0,2,59,2,P1-scene2
1,api.generate_image.succeeded,2000-01-01 08:53:02,False,False,False,0.0,1,61,2,P1-scene2
1,relationship_node.edited,2000-01-01 08:53:55,False,False,False,0.0,1,63,2,P1-scene2
1,layout.start,2000-01-01 08:53:58,True,True,False,2.0,2,64,2,P1-scene2
1,layout.start,2000-01-01 08:54:02,True,True,False,7.0,3,65,2,P1-scene2
1,instance.updated.text,2000-01-01 08:55:27,False,False,False,0.0,1,67,2,P1-scene2
1,api.generate_image.succeeded,2000-01-01 08:55:48,False,False,False,0.0,1,68,2,P1-scene2
1,scene_saved,2000-01-01 08:55:56,False,False,False,0.0,1,69,2,P1-scene2
1,class.created,2000-01-01 08:56:17,False,False,False,0.0,1,70,3,P1-scene3
1,instance.deleted,2000-01-01 08:56:20,False,False,False,0.0,1,71,3,P1-scene3
1,instance.created_from_class,2000-01-01 08:56:44,False,False,False,0.0,1,72,3,P1-scene3
1,instance.created_from_class,2000-01-01 08:56:48,False,False,False,0.0,1,73,3,P1-scene3
1,layout.start,2000-01-01 08:56:57,True,True,False,3.0,3,75,3,P1-scene3
1,layout.start,2000-01-01 08:57:03,True,True,False,3.0,2,76,3,P1-scene3
1,layout.start,2000-01-01 08:57:08,True,True,False,2.0,2,77,3,P1-scene3
1,layout.start,2000-01-01 08:57:14,True,True,False,1.0,2,79,3,P1-scene3
1,instance.updated.text,2000-01-01 08:58:37,False,False,False,0.0,1,81,3,P1-scene3
1,relationship_node.created,2000-01-01 08:59:43,False,False,False,0.0,1,82,3,P1-scene3
1,relationship_node.created,2000-01-01 08:59:53,False,False,False,0.0,1,83,3,P1-scene3
1,relationship_node.created,2000-01-01 09:00:04,False,False,False,0.0,1,84,3,P1-scene3
1,instance.updated.text,2000-01-01 09:00:18,False,False,False,0.0,1,85,3,P1-scene3
1,instance.updated.text,2000-01-01 09:00:47,False,False,False,0.0,1,86,3,P1-scene3
1,instance.updated.text,2000-01-01 09:00:58,False,False,False,0.0,1,87,3,P1-scene3
1,api.generate_image.succeeded,2000-01-01 09:02:01,False,False,False,0.0,1,90,3,P1-scene3
1,layout.start,2000-01-01 09:02:45,True,True,False,1.0,2,91,3,P1-scene3
1,instance.updated.text,2000-01-01 09:03:24,False,False,False,0.0,1,93,3,P1-scene3
1,instance.updated.text,2000-01-01 09:03:35,False,False,False,0.0,1,94,3,P1-scene3
1,api.generate_image.succeeded,2000-01-01 09:04:06,False,False,False,0.0,1,96,3,P1-scene3
1,scene_saved,2000-01-01 09:04:17,False,False,False,0.0,1,97,3,P1-scene3
1,instance.updated.text,2000-01-01 09:05:59,False,False,False,0.0,1,98,4,P1-scene4
1,instance.updated.text,2000-01-01 09:06:42,False,False,False,0.0,1,99,4,P1-scene4
1,instance.updated.text,2000-01-01 09:07:13,False,False,False,0.0,1,100,4,P1-scene4
1,instance.updated.text,2000-01-01 09:07:34,False,False,False,0.0,1,101,4,P1-scene4
1,layout.start,2000-01-01 09:07:41,True,True,False,2.0,2,102,4,P1-scene4
1,relationship_node.deleted,2000-01-01 09:07:56,False,False,False,0.0,1,104,4,P1-scene4
1,relationship_node.deleted,2000-01-01 09:08:00,False,False,False,0.0,1,106,4,P1-scene4
1,relationship_node.deleted,2000-01-01 09:08:01,False,False,False,0.0,1,107,4,P1-scene4
1,api.generate_image.succeeded,2000-01-01 09:08:48,False,False,False,0.0,1,117,4,P1-scene4
1,scene_saved,2000-01-01 09:09:09,False,False,False,0.0,1,118,4,P1-scene4
1,instance.created_from_text,2000-01-01 09:09:38,False,False,False,0.0,1,120,5,P1-scene5
1,instance.created_from_class,2000-01-01 09:10:21,False,False,False,0.0,1,123,5,P1-scene5
1,relationship_node.created,2000-01-01 09:10:21,False,False,False,0.0,1,124,5,P1-scene5
1,layout.start,2000-01-01 09:10:27,True,True,False,2.0,2,125,5,P1-scene5
1,layout.start,2000-01-01 09:10:30,True,True,False,2.0,2,126,5,P1-scene5
1,layout.start,2000-01-01 09:10:35,True,True,False,3.0,2,127,5,P1-scene5
1,instance.updated.text,2000-01-01 09:11:03,False,False,False,0.0,1,129,5,P1-scene5
1,relationship_node.created,2000-01-01 09:11:17,False,False,False,0.0,1,130,5,P1-scene5
1,relationship_node.created,2000-01-01 09:11:50,False,False,False,0.0,1,135,5,P1-scene5
1,relationship_node.created,2000-01-01 09:11:53,False,False,False,0.0,1,136,5,P1-scene5
1,relationship_node.edited,2000-01-01 09:11:54,False,False,False,0.0,1,137,5,P1-scene5
1,layout.start,2000-01-01 09:12:50,True,True,False,2.0,2,138,5,P1-scene5
1,instance.updated.text,2000-01-01 09:12:54,False,False,False,0.0,1,139,5,P1-scene5
1,instance.updated.text,2000-01-01 09:13:35,False,False,False,0.0,1,141,5,P1-scene5
1,api.generate_image.succeeded,2000-01-01 09:14:00,False,False,False,0.0,1,142,5,P1-scene5
1,layout.start,2000-01-01 09:14:15,True,True,False,2.0,2,143,5,P1-scene5
1,instance.created_from_detection,2000-01-01 09:14:18,False,False,False,0.0,1,144,5,P1-scene5
1,instance.updated.text,2000-01-01 09:14:48,False,False,False,0.0,1,147,5,P1-scene5
1,instance.updated.text,2000-01-01 09:15:11,False,False,False,0.0,1,148,5,P1-scene5
1,api.generate_image.succeeded,2000-01-01 09:15:42,False,False,False,0.0,1,149,5,P1-scene5
1,instance.deleted,2000-01-01 09:16:09,False,False,False,0.0,1,150,5,P1-scene5
1,instance.created_from_detection,2000-01-01 09:16:21,False,False,False,0.0,1,151,5,P1-scene5
1,instance.deleted,2000-01-01 09:16:33,False,False,False,0.0,1,153,5,P1-scene5
1,api.generate_image.succeeded,2000-01-01 09:17:03,False,False,False,0.0,1,154,5,P1-scene5
1,scene_saved,2000-01-01 09:17:13,False,False,False,0.0,1,155,5,P1-scene5
1,layout.start,2000-01-01 09:17:19,True,True,False,4.0,2,156,6,P1-scene6
1,relationship_node.created,2000-01-01 09:17:24,False,False,False,0.0,1,157,6,P1-scene6
1,api.generate_image.succeeded,2000-01-01 09:17:56,False,False,False,0.0,1,158,6,P1-scene6
1,relationship_node.created,2000-01-01 09:18:10,False,False,False,0.0,1,160,6,P1-scene6
1,relationship_node.created,2000-01-01 09:18:20,False,False,False,0.0,1,161,6,P1-scene6
1,instance.deleted,2000-01-01 09:18:22,False,False,False,0.0,1,162,6,P1-scene6
1,relationship_node.created,2000-01-01 09:18:25,False,False,False,0.0,1,163,6,P1-scene6
1,instance.updated.text,2000-01-01 09:20:25,False,False,False,0.0,1,172,6,P1-scene6
1,instance.updated.text,2000-01-01 09:20:40,False,False,False,0.0,1,173,6,P1-scene6
1,instance.updated.text,2000-01-01 09:21:03,False,False,False,0.0,1,174,6,P1-scene6
1,instance.updated.text,2000-01-01 09:21:13,False,False,False,0.0,1,175,6,P1-scene6
1,instance.updated.text,2000-01-01 09:21:33,False,False,False,0.0,1,176,6,P1-scene6
