pid,system_name,label,start_event,end_event,start_time,end_time,delta_sec
P3,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-27 03:46:39,2025-08-27 03:46:45,6.0
P3,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-27 03:47:02,2025-08-27 03:47:06,4.0
P3,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-27 03:47:09,2025-08-27 03:47:15,6.0
P3,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-27 03:48:26,2025-08-27 03:48:58,32.0
P3,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-27 04:08:42,2025-08-27 04:08:45,3.0
P3,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-27 04:08:57,2025-08-27 04:08:59,2.0
P3,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-27 04:09:18,2025-08-27 04:09:22,4.0
P3,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-27 04:09:47,2025-08-27 04:09:48,1.0
P3,OOPT,Init-OOPT,class_detail_opened,api.generate_scene_graph_to_text.started,2025-08-27 04:10:17,2025-08-27 04:10:27,10.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 04:10:51,2025-08-27 04:11:55,64.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 04:12:06,2025-08-27 04:12:26,20.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 04:12:38,2025-08-27 04:12:47,9.0
P3,OOPT,Init-OOPT,class_detail_opened,api.generate_scene_graph_to_text.started,2025-08-27 04:13:02,2025-08-27 04:13:16,14.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 04:13:25,2025-08-27 04:15:23,118.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 04:17:34,2025-08-27 04:18:31,57.0
P3,OOPT,Init-OOPT,class_detail_opened,instance.create_from_class.started,2025-08-27 04:19:07,2025-08-27 04:19:11,4.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 04:19:19,2025-08-27 04:20:34,75.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 04:20:45,2025-08-27 04:20:59,14.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 04:23:28,2025-08-27 04:23:40,12.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 04:24:20,2025-08-27 04:24:24,4.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 04:24:30,2025-08-27 04:24:45,15.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 04:24:56,2025-08-27 04:25:19,23.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 04:25:50,2025-08-27 04:26:04,14.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 04:26:28,2025-08-27 04:26:30,2.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 04:26:46,2025-08-27 04:26:53,7.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 04:27:10,2025-08-27 04:27:17,7.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 04:27:21,2025-08-27 04:27:57,36.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 04:31:38,2025-08-27 04:31:41,3.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 04:31:51,2025-08-27 04:31:55,4.0
P3,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-27 04:32:48,2025-08-27 04:33:04,16.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 04:33:14,2025-08-27 04:34:31,77.0
P3,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 04:35:02,2025-08-27 04:35:14,12.0
P3,Baseline,Edit-Baseline,baselineboard.node.add.instance,baselineboard.node.edit,2025-08-27 03:46:45,2025-08-27 03:46:51,6.0
P3,Baseline,Edit-Baseline,baselineboard.node.add.instance,baselineboard.node.edit,2025-08-27 03:48:58,2025-08-27 03:49:32,34.0
P3,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 03:49:32,2025-08-27 03:50:34,62.0
P3,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 03:50:34,2025-08-27 03:51:17,43.0
P3,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 03:51:17,2025-08-27 03:52:14,57.0
P3,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 03:52:14,2025-08-27 03:54:14,120.0
P3,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 03:54:14,2025-08-27 03:55:19,65.0
P3,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 03:55:19,2025-08-27 03:55:52,33.0
P3,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 03:55:52,2025-08-27 03:57:37,105.0
P3,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 03:57:37,2025-08-27 03:58:16,39.0
P3,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 03:58:16,2025-08-27 03:59:03,47.0
