pid,system_name,label,start_event,end_event,start_time,end_time,delta_sec
P10,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-25 09:33:21,2025-08-25 09:34:00,39.0
P10,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-25 09:34:28,2025-08-25 09:35:12,44.0
P10,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-25 09:39:58,2025-08-25 09:40:54,56.0
P10,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-25 09:41:19,2025-08-25 09:43:14,115.0
P10,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-25 09:43:20,2025-08-25 09:43:47,27.0
P10,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-25 09:51:39,2025-08-25 09:51:54,15.0
P10,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-25 09:52:21,2025-08-25 09:52:30,9.0
P10,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-25 09:52:38,2025-08-25 09:53:05,27.0
P10,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-25 09:53:11,2025-08-25 09:53:56,45.0
P10,OOPT,Init-OOPT,class_detail_opened,instance.create_from_class.started,2025-08-25 09:54:46,2025-08-25 09:56:57,131.0
P10,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-25 09:58:27,2025-08-25 09:59:41,74.0
P10,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-25 10:00:01,2025-08-25 10:00:19,18.0
P10,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-25 10:00:25,2025-08-25 10:00:34,9.0
P10,OOPT,Init-OOPT,class_detail_opened,instance.create_from_class.started,2025-08-25 10:00:45,2025-08-25 10:03:35,170.0
P10,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-25 10:04:31,2025-08-25 10:04:57,26.0
P10,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-25 10:06:40,2025-08-25 10:06:50,10.0
P10,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-25 10:09:12,2025-08-25 10:09:35,23.0
P10,Baseline,Edit-Baseline,baselineboard.node.add.instance,baselineboard.node.edit,2025-08-25 09:35:12,2025-08-25 09:37:25,133.0
P10,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-25 09:37:25,2025-08-25 09:39:39,134.0
P10,Baseline,Edit-Baseline,baselineboard.node.add.instance,baselineboard.node.edit,2025-08-25 09:43:47,2025-08-25 09:47:17,210.0
