pid,system_name,label,start_event,end_event,start_time,end_time,delta_sec
P8,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-25 01:57:30,2025-08-25 01:57:46,16.0
P8,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-25 01:58:07,2025-08-25 02:01:34,207.0
P8,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-25 02:03:04,2025-08-25 02:04:54,110.0
P8,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-25 02:05:33,2025-08-25 02:06:56,83.0
P8,OOPT,Init-OOPT,class_detail_opened,instance.create_from_class.started,2025-08-25 02:07:40,2025-08-25 02:08:34,54.0
P8,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-25 02:08:52,2025-08-25 02:09:58,66.0
P8,OOPT,Init-OOPT,class_detail_opened,api.generate_scene_graph_to_text.started,2025-08-25 02:10:54,2025-08-25 02:12:41,107.0
P8,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-25 02:13:00,2025-08-25 02:13:33,33.0
P8,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-25 02:14:52,2025-08-25 02:16:28,96.0
P8,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-25 02:18:33,2025-08-25 02:18:43,10.0
P8,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-25 02:19:05,2025-08-25 02:19:12,7.0
P8,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-25 02:19:47,2025-08-25 02:20:41,54.0
P8,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-25 02:21:01,2025-08-25 02:21:48,47.0
P8,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-25 02:23:09,2025-08-25 02:23:55,46.0
P8,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-25 02:25:35,2025-08-25 02:26:14,39.0
P8,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-25 02:27:17,2025-08-25 02:27:34,17.0
P8,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-25 02:27:56,2025-08-25 02:30:21,145.0
P8,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-25 02:31:01,2025-08-25 02:31:17,16.0
P8,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-25 02:31:42,2025-08-25 02:32:40,58.0
P8,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-25 02:32:52,2025-08-25 02:33:00,8.0
P8,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-25 02:38:22,2025-08-25 02:38:23,1.0
P8,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-25 02:38:31,2025-08-25 02:40:07,96.0
P8,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-25 02:40:17,2025-08-25 02:43:02,165.0
P8,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-25 02:43:42,2025-08-25 02:46:54,192.0
P8,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-25 02:47:27,2025-08-25 02:48:54,87.0
P8,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-25 02:49:19,2025-08-25 02:49:25,6.0
P8,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-25 02:49:37,2025-08-25 02:49:49,12.0
