pid,system_name,label,start_event,end_event,start_time,end_time,delta_sec
P12,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-27 01:35:35,2025-08-27 01:35:38,3.0
P12,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 01:35:55,2025-08-27 01:36:57,62.0
P12,OOPT,Init-OOPT,class_detail_opened,api.generate_scene_graph_to_text.started,2025-08-27 01:39:27,2025-08-27 01:39:30,3.0
P12,OOPT,Init-OOPT,class_detail_opened,api.generate_scene_graph_to_text.started,2025-08-27 01:40:12,2025-08-27 01:41:52,100.0
P12,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 01:43:05,2025-08-27 01:43:08,3.0
P12,OOPT,Init-OOPT,class_detail_opened,instance.create_from_class.started,2025-08-27 01:43:15,2025-08-27 01:45:06,111.0
P12,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 01:45:17,2025-08-27 01:45:34,17.0
P12,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 01:45:41,2025-08-27 01:45:59,18.0
P12,OOPT,Init-OOPT,class_detail_opened,instance.create_from_class.started,2025-08-27 01:46:18,2025-08-27 01:48:17,119.0
P12,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 01:48:27,2025-08-27 01:48:39,12.0
P12,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-27 01:49:42,2025-08-27 01:50:14,32.0
P12,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-27 01:50:54,2025-08-27 01:51:05,11.0
P12,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-27 01:51:46,2025-08-27 01:52:18,32.0
P12,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-27 01:53:10,2025-08-27 01:53:39,29.0
P12,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 01:54:33,2025-08-27 01:54:52,19.0
P12,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 01:56:27,2025-08-27 01:56:35,8.0
P12,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 01:57:20,2025-08-27 01:57:25,5.0
P12,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 01:57:34,2025-08-27 01:57:44,10.0
P12,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 01:57:59,2025-08-27 01:58:07,8.0
P12,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 01:58:12,2025-08-27 01:58:17,5.0
P12,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 01:58:32,2025-08-27 01:58:49,17.0
P12,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-27 02:02:03,2025-08-27 02:02:25,22.0
P12,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-27 02:05:47,2025-08-27 02:08:44,177.0
P12,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-27 02:09:37,2025-08-27 02:09:41,4.0
P12,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-27 02:09:51,2025-08-27 02:09:52,1.0
P12,Baseline,Edit-Baseline,baselineboard.node.add.instance,baselineboard.node.edit,2025-08-27 02:02:25,2025-08-27 02:05:42,197.0
P12,Baseline,Edit-Baseline,baselineboard.node.add.instance,baselineboard.node.edit,2025-08-27 02:08:44,2025-08-27 02:09:34,50.0
P12,Baseline,Edit-Baseline,baselineboard.node.add.instance,baselineboard.node.edit,2025-08-27 02:09:52,2025-08-27 02:12:17,145.0
P12,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 02:12:17,2025-08-27 02:15:04,167.0
P12,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 02:15:04,2025-08-27 02:17:48,164.0
P12,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 02:17:48,2025-08-27 02:17:54,6.0
P12,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 02:17:54,2025-08-27 02:17:58,4.0
P12,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 02:17:58,2025-08-27 02:18:04,6.0
P12,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 02:18:04,2025-08-27 02:18:32,28.0
P12,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 02:18:32,2025-08-27 02:18:38,6.0
P12,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 02:18:38,2025-08-27 02:18:47,9.0
P12,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 02:18:47,2025-08-27 02:18:55,8.0
P12,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 02:18:55,2025-08-27 02:19:05,10.0
P12,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 02:19:05,2025-08-27 02:19:25,20.0
